Time, Trial Number, Study Part, Sample, Illusion Sample, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, Total, No Touch
0.011213,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.022417,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.0438023,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.0471324,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.0558878,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.0769012,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.08771539,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.091185,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.0992255,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.1105536,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.1216157,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.1326652,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.1437265,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.1549278,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.1660645,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.1771226,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.1988601,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.2020199,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.2107081,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.2216821,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.2325984,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.2437509,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.2549523,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.2659852,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.2886283,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.2983368,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.3016308,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.3104118,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.3215496,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.3327367,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.3540417,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.3574291,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.3659695,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.3771583,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.3880716,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.3993548,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.4105329,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.4214663,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.432523,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.4435619,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.4546784,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.4659443,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.4770075,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.4880093,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.5101579,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.5136487,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.5240537,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.5325151,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.5437421,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.554549,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.5657147,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.5768759,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.5880595,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.5992885,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.6103487,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.6214592,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.6325547,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.6436356,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.6655588,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.6688754,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.6770222,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.6880892,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.6993525,1,Redirection,30,True,0,0,0,0,0,0,0,True
0.7101855,1,Redirection,30,True,0,0,0,0,0,0,0,True
