Time, Trial Number, Study Part, Sample, Illusion Sample, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, Total, No Touch
0.0211618,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0258362,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0332665,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0443017,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0551823,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0665797,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0893946,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0930856,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.0996596,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.1109309,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.1240811,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.133076,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.1445661,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.1553292,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.1793786,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.1834647,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.191187,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2000589,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2106847,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2219914,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2330894,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2442826,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2661198,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2698316,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2777002,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.2888026,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3001246,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.314714,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3323244,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3361194,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3536291,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3576358,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3666449,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3776613,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3887344,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.3997207,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.411187,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4237233,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4330984,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4445502,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4557378,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4785385,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4920686,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.4970524,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.5016876,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.5098872,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.5213116,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.5326501,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.5433577,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.5544747,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.5656478,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.5860369,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.5896757,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.5990172,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.6101327,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.6211365,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.6322154,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.6527163,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.6678679,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.6721505,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.6766526,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.6877865,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.6990917,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.7204716,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.7238812,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.7332622,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.7433934,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.7545283,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.7751427,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.7787629,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.7879771,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.8094248,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.823599,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.8280712,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.832144,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.8434815,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.8640371,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.8713338,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.8767655,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.8882474,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.9085819,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.9122444,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.9212849,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.9332492,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.9434865,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.9647493,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.9683838,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.9769418,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.9881015,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
0.9991543,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.010252,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.022922,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.043098,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.04683,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.056493,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.065578,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.076927,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.087998,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.099061,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.120517,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.124392,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.142359,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.145817,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.15464,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.165916,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.176541,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.188308,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.199966,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.210336,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.222057,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.233171,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.244527,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.25569,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.281442,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.296177,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.300028,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.309305,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.320683,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.331434,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.342831,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.354023,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.364878,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.375976,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.387233,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.398155,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.409472,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.432978,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.436917,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.442386,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.453976,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.466412,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.475789,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.487283,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.499424,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.520285,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.529859,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.533486,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.542544,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.554117,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.564957,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.586227,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.589957,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.598325,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.609213,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.620531,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.631482,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
1.642685,1,ScalingUp,1.54,False,0,0,0,0,0,0,0,True
