Time, Study Part, Sample, Trial Number, In progress, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, No Touch
0.02,A,20,1,False,0,0,0,0,0,0,1
0.03111111,A,20,1,False,0,0,0,0,0,0,1
0.04222222,A,20,1,False,0,0,0,0,0,0,1
0.05333333,A,20,1,False,0,0,0,0,0,0,1
0.06444445,A,20,1,False,0,0,0,0,0,0,1
0.07555556,A,20,1,False,0,0,0,0,0,0,1
0.08666667,A,20,1,False,0,0,0,0,0,0,1
0.09777778,A,20,1,False,0,0,0,0,0,0,1
0.1088889,A,20,1,False,0,0,0,0,0,0,1
0.12,A,20,1,False,0,0,0,0,0,0,1
0.1311111,A,20,1,False,0,0,0,0,0,0,1
0.1422222,A,20,1,False,0,0,0,0,0,0,1
0.1533333,A,20,1,False,0,0,0,0,0,0,1
0.1644444,A,20,1,False,0,0,0,0,0,0,1
0.1755556,A,20,1,False,0,0,0,0,0,0,1
0.1866667,A,20,1,False,0,0,0,0,0,0,1
0.1977778,A,20,1,False,0,0,0,0,0,0,1
0.2088889,A,20,1,False,0,0,0,0,0,0,1
0.22,A,20,1,False,0,0,0,0,0,0,1
0.2311111,A,20,1,False,0,0,0,0,0,0,1
0.2422222,A,20,1,False,0,0,0,0,0,0,1
0.2533333,A,20,1,False,0,0,0,0,0,0,1
0.2644444,A,20,1,False,0,0,0,0,0,0,1
0.2755556,A,20,1,False,0,0,0,0,0,0,1
0.2866667,A,20,1,False,0,0,0,0,0,0,1
0.2977778,A,20,1,False,0,0,0,0,0,0,1
0.3088889,A,20,1,False,0,0,0,0,0,0,1
0.32,A,20,1,False,0,0,0,0,0,0,1
0.3311111,A,20,1,False,0,0,0,0,0,0,1
0.3422222,A,20,1,False,0,0,0,0,0,0,1
0.3533333,A,20,1,False,0,0,0,0,0,0,1
0.3644444,A,20,1,False,0,0,0,0,0,0,1
0.3755555,A,20,1,False,0,0,0,0,0,0,1
0.3866667,A,20,1,False,0,0,0,0,0,0,1
0.3977778,A,20,1,False,0,0,0,0,0,0,1
0.4088889,A,20,1,False,0,0,0,0,0,0,1
0.42,A,20,1,False,0,0,0,0,0,0,1
0.4311111,A,20,1,False,0,0,0,0,0,0,1
0.4422222,A,20,1,False,0,0,0,0,0,0,1
0.4533333,A,20,1,False,0,0,0,0,0,0,1
0.4644444,A,20,1,False,0,0,0,0,0,0,1
0.4755555,A,20,1,False,0,0,0,0,0,0,1
0.4866666,A,20,1,False,0,0,0,0,0,0,1
0.4977778,A,20,1,False,0,0,0,0,0,0,1
0.5088889,A,20,1,False,0,0,0,0,0,0,1
0.52,A,20,1,False,0,0,0,0,0,0,1
0.5311112,A,20,1,False,0,0,0,0,0,0,1
0.5422223,A,20,1,False,0,0,0,0,0,0,1
0.5533335,A,20,1,False,0,0,0,0,0,0,1
0.5644446,A,20,1,False,0,0,0,0,0,0,1
0.5755557,A,20,1,False,0,0,0,0,0,0,1
0.5866669,A,20,1,False,0,0,0,0,0,0,1
0.597778,A,20,1,False,0,0,0,0,0,0,1
0.6088892,A,20,1,False,0,0,0,0,0,0,1
0.6200003,A,20,1,False,0,0,0,0,0,0,1
0.6311114,A,20,1,False,0,0,0,0,0,0,1
0.6422226,A,20,1,False,0,0,0,0,0,0,1
0.6533337,A,20,1,False,0,0,0,0,0,0,1
0.6644449,A,20,1,False,0,0,0,0,0,0,1
0.675556,A,20,1,False,0,0,0,0,0,0,1
0.6866671,A,20,1,False,0,0,0,0,0,0,1
0.6977783,A,20,1,False,0,0,0,0,0,0,1
0.7088894,A,20,1,False,0,0,0,0,0,0,1
0.7200006,A,20,1,False,0,0,0,0,0,0,1
0.7311117,A,20,1,False,0,0,0,0,0,0,1
0.7422228,A,20,1,False,0,0,0,0,0,0,1
0.753334,A,20,1,False,0,0,0,0,0,0,1
0.7644451,A,20,1,False,0,0,0,0,0,0,1
0.7755563,A,20,1,False,0,0,0,0,0,0,1
0.7866674,A,20,1,False,0,0,0,0,0,0,1
0.7977785,A,20,1,False,0,0,0,0,0,0,1
0.8088897,A,20,1,False,0,0,0,0,0,0,1
0.8200008,A,20,1,False,0,0,0,0,0,0,1
0.831112,A,20,1,False,0,0,0,0,0,0,1
0.8422231,A,20,1,False,0,0,0,0,0,0,1
0.8533342,A,20,1,False,0,0,0,0,0,0,1
0.8644454,A,20,1,False,0,0,0,0,0,0,1
0.8755565,A,20,1,False,0,0,0,0,0,0,1
0.8866677,A,20,1,False,0,0,0,0,0,0,1
0.8977788,A,20,1,False,0,0,0,0,0,0,1
0.9088899,A,20,1,False,0,0,0,0,0,0,1
0.9200011,A,20,1,False,0,0,0,0,0,0,1
0.9311122,A,20,1,False,0,0,0,0,0,0,1
0.9422234,A,20,1,False,0,0,0,0,0,0,1
0.9533345,A,20,1,False,0,0,0,0,0,0,1
0.9644457,A,20,1,False,0,0,0,0,0,0,1
0.9755568,A,20,1,False,0,0,0,0,0,0,1
0.9866679,A,20,1,False,0,0,0,0,0,0,1
0.9977791,A,20,1,False,0,0,0,0,0,0,1
1.00889,A,20,1,False,0,0,0,0,0,0,1
1.020001,A,20,1,False,0,0,0,0,0,0,1
1.031112,A,20,1,False,0,0,0,0,0,0,1
1.042224,A,20,1,False,0,0,0,0,0,0,1
1.053335,A,20,1,False,0,0,0,0,0,0,1
1.064446,A,20,1,False,0,0,0,0,0,0,1
1.075557,A,20,1,False,0,0,0,0,0,0,1
1.086668,A,20,1,False,0,0,0,0,0,0,1
1.097779,A,20,1,False,0,0,0,0,0,0,1
1.10889,A,20,1,False,0,0,0,0,0,0,1
1.120002,A,20,1,False,0,0,0,0,0,0,1
1.131113,A,20,1,False,0,0,0,0,0,0,1
1.142224,A,20,1,False,0,0,0,0,0,0,1
1.153335,A,20,1,False,0,0,0,0,0,0,1
1.164446,A,20,1,False,0,0,0,0,0,0,1
1.175557,A,20,1,False,0,0,0,0,0,0,1
1.186668,A,20,1,False,0,0,0,0,0,0,1
1.19778,A,20,1,False,0,0,0,0,0,0,1
1.208891,A,20,1,False,0,0,0,0,0,0,1
1.220002,A,20,1,False,0,0,0,0,0,0,1
1.231113,A,20,1,False,0,0,0,0,0,0,1
1.242224,A,20,1,False,0,0,0,0,0,0,1
1.253335,A,20,1,False,0,0,0,0,0,0,1
1.264446,A,20,1,False,0,0,0,0,0,0,1
1.275558,A,20,1,False,0,0,0,0,0,0,1
1.286669,A,20,1,False,0,0,0,0,0,0,1
1.29778,A,20,1,False,0,0,0,0,0,0,1
1.308891,A,20,1,False,0,0,0,0,0,0,1
1.320002,A,20,1,False,0,0,0,0,0,0,1
1.331113,A,20,1,False,0,0,0,0,0,0,1
1.342224,A,20,1,False,0,0,0,0,0,0,1
1.353335,A,20,1,False,0,0,0,0,0,0,1
1.364447,A,20,1,False,0,0,0,0,0,0,1
1.375558,A,20,1,False,0,0,0,0,0,0,1
1.386669,A,20,1,False,0,0,0,0,0,0,1
1.39778,A,20,1,False,0,0,0,0,0,0,1
1.408891,A,20,1,False,0,0,0,0,0,0,1
1.420002,A,20,1,False,0,0,0,0,0,0,1
1.431113,A,20,1,False,0,0,0,0,0,0,1
1.442225,A,20,1,False,0,0,0,0,0,0,1
1.453336,A,20,1,False,0,0,0,0,0,0,1
1.464447,A,20,1,False,0,0,0,0,0,0,1
1.475558,A,20,1,False,0,0,0,0,0,0,1
1.486669,A,20,1,False,0,0,0,0,0,0,1
1.49778,A,20,1,False,0,0,0,0,0,0,1
1.508891,A,20,1,False,0,0,0,0,0,0,1
1.520003,A,20,1,False,0,0,0,0,0,0,1
1.531114,A,20,1,False,0,0,0,0,0,0,1
1.542225,A,20,1,False,0,0,0,0,0,0,1
1.553336,A,20,1,False,0,0,0,0,0,0,1
1.564447,A,20,1,False,0,0,0,0,0,0,1
1.575558,A,20,1,False,0,0,0,0,0,0,1
1.586669,A,20,1,False,0,0,0,0,0,0,1
1.597781,A,20,1,False,0,0,0,0,0,0,1
1.608892,A,20,1,False,0,0,0,0,0,0,1
1.620003,A,20,1,False,0,0,0,0,0,0,1
1.631114,A,20,1,False,0,0,0,0,0,0,1
1.642225,A,20,1,False,0,0,0,0,0,0,1
1.653336,A,20,1,False,0,0,0,0,0,0,1
1.664447,A,20,1,False,0,0,0,0,0,0,1
1.675559,A,20,1,False,0,0,0,0,0,0,1
1.68667,A,20,1,False,0,0,0,0,0,0,1
1.697781,A,20,1,False,0,0,0,0,0,0,1
1.708892,A,20,1,False,0,0,0,0,0,0,1
1.720003,A,20,1,False,0,0,0,0,0,0,1
1.731114,A,20,1,False,0,0,0,0,0,0,1
1.742225,A,20,1,False,0,0,0,0,0,0,1
1.753337,A,20,1,False,0,0,0,0,0,0,1
1.764448,A,20,1,False,0,0,0,0,0,0,1
1.775559,A,20,1,False,0,0,0,0,0,0,1
1.78667,A,20,1,False,0,0,0,0,0,0,1
1.797781,A,20,1,False,0,0,0,0,0,0,1
1.808892,A,20,1,False,0,0,0,0,0,0,1
1.820003,A,20,1,False,0,0,0,0,0,0,1
1.831115,A,20,1,False,0,0,0,0,0,0,1
1.842226,A,20,1,False,0,0,0,0,0,0,1
1.853337,A,20,1,False,0,0,0,0,0,0,1
1.864448,A,20,1,False,0,0,0,0,0,0,1
1.875559,A,20,1,False,0,0,0,0,0,0,1
1.88667,A,20,1,False,0,0,0,0,0,0,1
1.897781,A,20,1,False,0,0,0,0,0,0,1
1.908893,A,20,1,False,0,0,0,0,0,0,1
1.920004,A,20,1,False,0,0,0,0,0,0,1
1.931115,A,20,1,False,0,0,0,0,0,0,1
1.942226,A,20,1,False,0,0,0,0,0,0,1
1.953337,A,20,1,False,0,0,0,0,0,0,1
1.964448,A,20,1,False,0,0,0,0,0,0,1
1.975559,A,20,1,False,0,0,0,0,0,0,1
1.98667,A,20,1,False,0,0,0,0,0,0,1
1.997782,A,20,1,False,0,0,0,0,0,0,1
2.008893,A,20,1,False,0,0,0,0,0,0,1
2.020004,A,20,1,False,0,0,0,0,0,0,1
2.031115,A,20,1,False,0,0,0,0,0,0,1
