Time, Trial Number, Study Part, Sample, Illusion Sample, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, No Touch
0.0117127,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.0229317,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.0394141,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.0451984,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.0570495,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.0684562,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.07942639,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.09063479,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.1017584,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.1129406,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.1239703,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.135252,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.1461511,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.1571797,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.1684261,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.1795218,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.1961587,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.2015402,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.2125616,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.2235565,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.2362141,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.245658,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.2666674,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.2697931,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.2773796,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.2884234,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.2997032,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.3105287,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.3264861,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.3331507,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.3501406,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.3550665,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.3662706,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.3774049,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.3886106,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.3997426,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.4107574,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.4217915,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.4373111,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.4438972,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.45522,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.4662537,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.477291,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.4885888,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.5043848,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.5106605,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.5218124,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.53285,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.5443085,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.5549545,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.5661366,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.5771582,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.5892291,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.5996175,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.6106832,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.6217457,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.6332265,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.6440358,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.6605806,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.6662992,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.6774752,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.6887778,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.7001795,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
0.7115601,1,ScalingUp,1.08,True,0,0,0,0,0,0,0
