Time, Trial Number, Study Part, Sample, Illusion Sample, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, Total, No Touch
0.0113769,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.022479,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.0335478,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.0445231,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.0658573,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.0692841,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.0780554,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.0891019,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.1001409,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.1114275,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.1323359,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.1353634,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.1447382,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.1557675,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.167031,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.1779686,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.1894185,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.2005474,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.2117311,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.2229578,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.2344316,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.2456882,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.270917,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.2844131,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.2884145,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.291031,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.299234,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.3104015,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.3213975,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.3326222,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.343657,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.3548787,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.3661882,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.3770387,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.3881834,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.3992407,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.4103218,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.4324678,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.4463115,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.4544064,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.4576853,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.4658458,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.4770681,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.4893551,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.4992054,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.51034,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.5214079,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.5325863,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.5548215,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.5582508,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.5761698,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.5875948,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.6008633,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.6177253,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.6217602,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.6425269,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.6460821,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.6647309,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.6681233,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.6770995,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.6979687,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.7012205,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.7103734,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.7319565,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.7354473,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.7438296,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.7641665,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.7771375,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.7803833,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.7881436,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.7992456,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.8102988,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.8214296,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.8323409,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.8434366,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.8546095,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.8760153,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.8792687,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.8882135,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.9026016,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.9201458,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.9237026,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.9324525,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.9434694,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.9645886,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.9680153,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.9767019,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.9878175,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
0.9988592,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.010034,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.021473,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.03244,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.043249,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.054825,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.076731,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.080135,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.089252,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.100462,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.11196,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.123297,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.134934,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.146305,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.15786,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.179038,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.187291,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.191929,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.199394,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.210745,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.232388,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.235607,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.244096,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
1.265041,1,ScalingUp,1.23,True,0,0,0,0,0,0,0,True
