Time, Trial Number, Study Part, Sample, Illusion Sample, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, Total, No Touch
0.0111156,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.0226794,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.0339461,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.0549636,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.0630904,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.0703641,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.075748,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.0975375,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.1012416,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.10941,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.1304032,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.1436813,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.1473264,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.1536033,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.1743377,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.1783344,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.1871259,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.1981173,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.2192945,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.222791,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.2314939,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.2427991,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.2633969,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.2765109,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.2800515,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.2968675,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.3004143,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.3092365,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.329975,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.3341118,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.3426883,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.3667546,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.3704015,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.3757037,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.3870919,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.4082375,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.4117742,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.4205798,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.4420169,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.4472258,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.4646541,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.4680352,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.4769624,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.4876721,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.4988291,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.5195161,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.5230917,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.5320551,1,Redirection,40,True,0,0,0,0,0,0,0,True
0.5431309,1,Redirection,40,True,0,0,0,0,0,0,0,True
