Time, Trial Number, Study Part, Sample, Illusion Sample, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, Total, No Touch
0.02,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.3533334,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.3900363,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.3969724,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4235592,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4281082,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4310465,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4337269,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4392507,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.445233,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4578432,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4629681,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4694659,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4729896,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4762095,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.479521,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4873803,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4905458,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4932001,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.4963014,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.501358,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5050382,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5079905,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5110851,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5154455,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5189332,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5217776,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5250776,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5277502,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.531283,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5344026,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5379205,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5408678,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5439468,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5471584,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.550095,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5529502,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5558282,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5580622,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5611332,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5643891,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5674093,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5841612,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.586998,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5928953,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.5975052,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6192147,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6223795,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6265775,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6301418,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6338213,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6369581,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6436379,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6464335,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6490759,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6516024,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6544582,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6577148,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6603343,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6632722,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6672736,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6703516,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6733148,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6767923,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.6905774,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.7215343,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.7273575,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.7453596,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.7713253,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.7766321,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.7941283,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.8236352,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.8279281,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.8426692,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.8605806,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.8918037,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.9277695,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.9341432,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.9616894,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
0.9806182,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.000122,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.006676,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.03504,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.040734,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.058808,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.080511,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.095104,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.126591,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.153462,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.162133,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.182173,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.192509,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.208742,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.23463,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.245065,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.257617,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.26216,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.2808,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.296126,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.322832,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.329118,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.343994,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.362001,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.518502,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.564143,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.569759,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.5916,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.615007,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.643202,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.653161,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.695918,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.722954,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.761477,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.787085,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.796299,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.823373,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.856701,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.864051,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.88057,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.900956,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.944424,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.973508,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
1.993547,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.014386,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.054611,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.068233,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.085353,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.102296,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.123407,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.153479,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.184901,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.207008,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.228196,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.260796,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.276543,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.297071,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.318995,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.34196,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.368026,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.405737,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.427193,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.471938,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.488186,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.510596,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.531374,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.556432,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.585258,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.625166,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.66909,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.692172,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.722602,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.749193,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.778234,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.808794,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.858775,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.902527,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.932681,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
2.976609,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.000665,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.038178,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.079694,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.111331,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.140844,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.17054,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.205822,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.27643,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.329218,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.364618,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.465823,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.615177,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.786511,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
3.980272,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
4.089519,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
4.119146,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
4.145033,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
4.169572,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
4.44238,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
4.747465,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
4.901293,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
5.061176,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
5.215439,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
5.271282,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
5.357033,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
5.390185,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
5.42419,1,ScalingUp,1.23,False,0,0,0,0,0,0,0,True
