Time, Trial Number, Study Part, Sample, Illusion Sample, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, Total, No Touch
0.0085972,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.0225712,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.03377,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.0447963,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.0660182,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.0799229,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.0844105,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.0889111,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.098958,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.1099129,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.1209567,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.1421688,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.1455719,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.1546019,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.1659037,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.1768397,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.1876558,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.2084426,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.2119623,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.2211523,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.2423522,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.2458338,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.2542702,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.275131,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.2783198,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.2876539,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.2988028,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.3085428,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.3209008,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.3321946,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.3534452,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.3568665,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.3655393,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.376485,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.3973554,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.4005769,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.4086717,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.4312487,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.4344609,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.4430916,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.4545922,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.466128,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.4868402,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.4909572,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.4999506,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.5084155,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.5225248,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.533895,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.5555683,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.5687084,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.5725812,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.5788915,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.5884605,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.5997579,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.6080917,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.6218588,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.6329564,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.6441221,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.6550326,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.6663253,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.6773315,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.6883836,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.7100406,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.7141773,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.7215936,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.7320886,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.7430654,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.7543089,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.765352,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.7765955,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.7875149,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.8091753,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.8142443,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.8207628,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.8317593,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.8428116,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.8673722,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.8711765,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.8759887,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.8870609,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.8984447,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.9082258,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.9204229,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.9320467,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.9434422,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.9538238,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.9649598,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.9762225,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.9871223,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
0.9982398,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.018733,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.022183,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.031735,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.043679,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.053797,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.064854,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.07597,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.087117,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.098834,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.107904,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.120372,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.14191,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.145182,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.154141,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.174774,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.184815,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.187908,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.197422,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.208041,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.219144,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.230227,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.250737,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.254668,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.263984,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.274648,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.286011,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.296888,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.321121,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.335231,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.339284,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.342698,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.352423,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.374036,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.377123,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.385673,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.396971,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.408022,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.429344,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.432769,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.441362,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.452297,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.463508,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.484502,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.49823,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.501861,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.507691,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.519546,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.540282,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.543771,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.55241,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.563303,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.57445,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.585537,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.606575,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.609933,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.619011,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.630008,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.641167,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.66547,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.679302,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.683331,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.686916,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.696752,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.707812,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.71969,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.729981,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.751522,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.75472,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.763412,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.774404,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.78562,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.796813,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.817398,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.820603,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.840304,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.843674,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.852154,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.86352,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.874467,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.885458,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.896571,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.90774,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.918729,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.939924,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.943059,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.952244,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.973365,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.976571,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.985596,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
1.996774,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
2.007634,1,ScalingUp,10,True,0,0,0,0,0,0,0,True
