Time, Trial Number, Study Part, Sample, Illusion Sample, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, Total, No Touch
0.0110664,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.0222594,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.0332818,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.0454748,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.0557625,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.0667367,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.0780946,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.0892402,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.1006384,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.1110742,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.1219102,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.1435722,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.1468329,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.1565838,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.166737,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.1778401,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.1889028,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.2004817,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.2114837,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.2226095,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.236798,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.2444694,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.2560449,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.2671909,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.2782727,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.2998542,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.3039055,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.3115538,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.3223226,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.3333445,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
0.3443789,1,ScalingUp,1.38,False,0,0,0,0,0,0,0,True
