Time, Trial Number, Study Part, Sample, Illusion Sample, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, No Touch
0.0112064,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.0230064,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.0334502,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.0445261,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.055532,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.0669856,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.077791,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.0957038,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.1000361,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.1116286,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.1221034,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.1332066,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.145524,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.1555759,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.1666721,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.1776411,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.1888913,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.1999018,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.2111453,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.2221495,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.2336793,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.2512424,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.2550394,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.2670706,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.277761,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.2888376,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.2999591,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.3114224,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.3220869,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.3333426,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.3465857,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.3552,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.3665404,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.3777133,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.3887136,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.4071036,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.4107474,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.4221463,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.4331546,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.4442701,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.4553378,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.4665572,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.4775181,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.4887355,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.4999177,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.5109261,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.5220724,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.5334794,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.5473744,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.563001,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.5660105,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.5779999,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.588613,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.5997522,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.6111016,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.6222575,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.6331948,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.6443363,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.6551532,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.666477,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.6775658,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.6893561,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.6996694,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.718286,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.7216343,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.7332717,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.7441307,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.7552241,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.7664972,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.7775269,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.788402,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.7997812,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.8108975,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.8218969,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.8330129,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.8442056,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.855288,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.8730997,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.8770514,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.8884957,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.8997342,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.9107472,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.9218681,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.9329091,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.944161,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.9553313,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
0.9663685,1,ScalingUp,1.08,False,0,0,0,0,0,0,0
