Time, Trial Number, Study Part, Sample, Illusion Sample, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, No Touch
0.0212343,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.0261069,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.0335132,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.0443639,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.0553363,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.067161,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.0795257,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.089033,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.1001033,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.1113204,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.1228082,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.133423,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.1446822,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.15636,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.1721788,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.1772989,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.1885424,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.1996473,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.2108211,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.2219087,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.2335704,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.24416,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.2550922,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.2663164,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.2771927,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.2883567,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.299454,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.3106522,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.3262627,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.3327961,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.3440544,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.3549733,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.3661747,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.3770636,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.3883842,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.3993295,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.4105328,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.4215753,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.4326366,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.4437947,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.4551023,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.4665124,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.4833151,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.4887684,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.5007738,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.5118951,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.5229045,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.5341725,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.5455455,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.5578877,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.567641,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.5789033,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.590778,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.6010875,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.6122678,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.623345,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.6423702,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.6456656,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.6547744,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.6659278,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.6770599,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.6883516,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.6993039,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.7106349,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.7215171,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.7328305,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.743718,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.7547358,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.7661281,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.7771957,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.7933307,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.7992216,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.8104943,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.8213939,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.8325066,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.8437107,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.8549229,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.8658031,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.8770348,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.8881434,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.8992821,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.9102712,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.9214382,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.9326057,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.9474101,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.9547375,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.966028,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.9771111,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.9880598,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
0.9991169,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.010381,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.021639,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.033009,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.044293,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.055645,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.067012,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.078447,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.089985,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.105427,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.112252,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.123509,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.134557,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.145782,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.156994,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.168193,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.179596,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.190692,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.202051,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.213179,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.224478,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.235287,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.246473,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.266183,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.269975,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.2767,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.28785,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.298918,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.310158,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.321213,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.332535,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.343428,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.354607,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.3659,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.377295,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.387837,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.399208,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.415637,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.421265,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.432358,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.443683,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.454717,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.465845,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.476791,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.487874,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.499006,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.510196,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.521282,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.532596,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.543687,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.554615,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.569914,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.576677,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.587937,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.599169,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.609945,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.620987,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.632252,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.64329,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.654382,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.66575,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.677169,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.68839,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.699736,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
1.711262,1,ScalingUp,1.23,True,0,0,0,0,0,0,0
